meeting_file,meeting_title,meeting_date,councillor,status
County_Council_Meeting_12_05_25_Minutes,County Council Meeting Minutes - 12th May 2025,2025-05-12,Michael Sheehan,present
County_Council_Meeting_12_05_25_Minutes,County Council Meeting Minutes - 12th May 2025,2025-05-12,Murphy Craig,present
County_Council_Meeting_12_05_25_Minutes,County Council Meeting Minutes - 12th May 2025,2025-05-12,Murphy Mary,present
County_Council_Meeting_12_05_25_Minutes,County Council Meeting Minutes - 12th May 2025,2025-05-12,Nicky Boland,present
County_Council_Meeting_12_05_25_Minutes,County Council Meeting Minutes - 12th May 2025,2025-05-12,Oliver Catherine,present
County_Council_Meeting_12_05_25_Minutes,County Council Meeting Minutes - 12th May 2025,2025-05-12,Online Lisa,present
County_Council_Meeting_12_05_25_Minutes,County Council Meeting Minutes - 12th May 2025,2025-05-12,Owens Paddy,present
County_Council_Meeting_12_05_25_Minutes,County Council Meeting Minutes - 12th May 2025,2025-05-12,Pat Barden,present
County_Council_Meeting_12_05_25_Minutes,County Council Meeting Minutes - 12th May 2025,2025-05-12,Pat Kehoe,present
County_Council_Meeting_12_05_25_Minutes,County Council Meeting Minutes - 12th May 2025,2025-05-12,Raymond Shannon,present
County_Council_Meeting_12_05_25_Minutes,County Council Meeting Minutes - 12th May 2025,2025-05-12,Robbie Frank,present
County_Council_Meeting_12_05_25_Minutes,County Council Meeting Minutes - 12th May 2025,2025-05-12,Staples Garry,present
County_Council_Meeting_12_05_25_Minutes,County Council Meeting Minutes - 12th May 2025,2025-05-12,Walsh Walsh,present
Final-County-Council-Meeting-09-04-18,Council minutes 9 April 2018,2018-04-09,Of Business,present
Final-County-Council-Meeting-09-04-18,Council minutes 9 April 2018,2018-04-09,The Concluded,present
Final-County-Council-Meeting-14-05-18,Council minutes 14 May 2018,2018-05-14,Business The,present
Final-County-Council-Meeting-14-05-18,Council minutes 14 May 2018,2018-05-14,Concluded This,present
Final-County-Council-Meeting-14-05-18,Council minutes 14 May 2018,2018-05-14,Hap Ras,present
Final-County-Council-Meeting-14-05-18,Council minutes 14 May 2018,2018-05-14,The Of,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Anthony Connick,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Anthony Fleming,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Barbara-Anne Jim,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Bolger Barden,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Byrne Browne,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Cathal Hegarty,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Codd-Nolan Codd,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,David Jim,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Devereux Kelly,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Donal Sheehan,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Farrell Donohoe,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Fionntan O'Suilleabhain,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Forde Tom,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Jackser Owens,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,John Aidan,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,John Bridin,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Kathleen Hynes,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Kenny Diarmuid,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Lawlor Laffan,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Lisa Murphy,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Mary Mcdonald,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Michael Joe,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Michael Oliver,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Moore John,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,O'Rourke Murphy,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Pat Breen,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Pip Andrew,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Sullivan Leonard,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Walsh Garry,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Whelan George,present
Final-County-Council-Meeting-Minutes-14-Sept-2020,Final County Council Meeting Minutes 14 Sept 2020,2020-01-01,Willie Kavanagh,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Andrew Maura,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Anthony Connick,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Anthony Fleming,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Barbara-Anne Jim,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Bell Barden,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Browne Breen,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Carthy Byrne,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Cathal Willie,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Codd-Nolan Codd,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,David Hynes,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Diarmuid Devereux,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Farrell Donohoe,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Ger Kelly,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Joe Jackser,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,John Bridin,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,John Murphy,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Kavanagh Aidan,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Kenny Jim,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Laffan Kathleen,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Lawlor Garry,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Leonard Owens,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Lisa Michael,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Mary Mcdonald,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Moore John,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,O'Rourke Murphy,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Oliver Michael,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Pat Bolger,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Pip Hegarty,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Sheehan Sullivan,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Walsh Donal,present
Final-County-Council-Special-Meeting-14.09.20-Minutes,Final County Council Special Meeting 14.09.20 Minutes,,Whelan George,present
Final-Statutory-Budget-Meeting-25.11.19,Final Statutory Budget Meeting 25th November 2019,2019-11-25,Etc Nrtc,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Aidan Browne,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Andrew Bolger,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Anthony Connick,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Anthony Donohoe,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Barbara-Anne Murphy,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Bridin Murphy,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Cathal Byrne,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Codd Carthy,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Diarmuid Devereux,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Donal Kenny,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Fionntain O'Suilleabhain,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Frank Staples,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Gary Laffan,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,George Lawlor,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Jim Ger,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Jim Moore,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Joe Sullivan,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,John Fleming,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,John Hegarty,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Kathleen Codd-Nolan,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Leonard Kelly,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Lisa Mcdonald,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Mary Farrell,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Maura Bell,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Michael Whelan,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Oliver Walsh,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Pat Barden,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Pip Breen,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Tom Forde,present
Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020,Minutes of the Annual Meeting of Wexford County Council 29th June 2020,2020-06-29,Willie Kavanagh,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Barbara Murphy,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Bolger Bell,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Breen Michael,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Browne Joe,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Carthy Michael,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Cathal Byrne,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Codd-Nolan Lisa,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Connick Jim,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Devereux Anne,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Donal Kenny,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Fleming Bridin,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Garry Laffan,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Ger Codd,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Hynes Jackser,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Kavanagh Pip,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Lawlor Jim,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Mcdonald George,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Moore Kathleen,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Murphy Diarmuid,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,O'Rourke John,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Oliver Walsh,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Sheehan David,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Sullivan Willie,present
Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes,"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",2023-04-11,Tom Forde,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Aidan Browne,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Andrew Bolger,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Anthony Connick,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Anthony Donohoe,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Bell Mcdonald,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Bridin Murphy,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Cathal Byrne,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Codd Carthy,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,David Hynes,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Donal Kenny,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Fionnatn O'Suilleabhain,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Frank Staples,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Gary Laffan,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,George Lawlor,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Jackser Owens,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Jim Ger,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Jim Lisa,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Joe Sullivan,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,John Fleming,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,John Hegarty,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,John O'Rourke,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Kathleen Codd-Nolan,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Leonard Kelly,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Michael Sheehan,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Michael Whelan,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Moore Maura,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Of Business,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Pat Barden,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Pip Breen,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,The Concluded,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Tom Forde,present
Special-County-Council-Meeting-05.01.22-Flooding-Minutes,Special County Council Meeting - Minutes 5th January 2022,2022-01-05,Willie Kavanagh,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Aidan Browne,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Aidan Pip,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Andrew Bolger,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Andrew Maura,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Anthony Donohoe,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,As Anthony,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,As As,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Bell Mcdonald,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Bolger Bell,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Bridin Barbara-Anne,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Bridin Murphy,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Browne Breen,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Business The,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Carthy Byrne,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Cathal Byrne,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Codd Carthy,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Codd-Nolan Codd,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Concluded This,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,David Hynes,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Devereux Connick,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Diarmuid Devereux,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Diarmuid Lawlor,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Donal Kenny,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Donal Staples,present
Special-County-Council-Meeting-14.01.22-Minutes_0,Special County Council Meeting  - Minutes 14th January 2022,2022-01-14,Farrell Ab,present
